"PLANT","DTSTART","DTEND","NDELAYCODE","DELAYCOMMENT","COILID1","DTSTORE"
2,"04.10.16 10:37","04.10.16 10:43",0,,,"04.10.16 10:43"
2,"04.10.16 08:58","04.10.16 09:09",0,,,"04.10.16 09:09"
1,"04.10.16 09:06","04.10.16 09:19",0,,,"04.10.16 09:24"
3,"04.10.16 09:19","04.10.16 10:37",0,,,"04.10.16 10:42"
1,"04.10.16 10:51","04.10.16 10:55",0,,,"04.10.16 11:00"
1,"04.10.16 11:21","04.10.16 12:20",0,,,"04.10.16 12:25"
3,"04.10.16 10:55","04.10.16 11:21",0,,,"04.10.16 11:21"
3,"04.10.16 12:20","04.10.16 12:28",0,,,"04.10.16 12:27"
1,"04.10.16 12:28","04.10.16 12:30",0,,,"04.10.16 12:35"
3,"04.10.16 12:30","04.10.16 12:50",0,,,"04.10.16 12:50"
1,"04.10.16 12:50","04.10.16 12:50",0,,,"04.10.16 12:55"
3,"04.10.16 12:50","04.10.16 13:15",0,,,"04.10.16 13:15"
1,"04.10.16 14:34","05.10.16 08:27",0,,,"05.10.16 08:32"
1,"04.10.16 13:15","04.10.16 13:17",0,,,"04.10.16 13:22"
1,"05.10.16 08:45","05.10.16 08:50",0,,,"05.10.16 08:55"
3,"05.10.16 08:27","05.10.16 08:45",0,,,"05.10.16 08:45"
3,"05.10.16 08:50","05.10.16 08:55",0,,,"05.10.16 08:55"
1,"05.10.16 08:55","05.10.16 09:08",0,,,"05.10.16 09:13"
3,"05.10.16 09:08","05.10.16 09:29",0,,,"05.10.16 09:29"
3,"05.10.16 10:33","05.10.16 10:45",0,,,"05.10.16 10:45"
1,"05.10.16 09:29","05.10.16 10:19",0,,,"05.10.16 10:24"
1,"05.10.16 10:24","05.10.16 10:33",0,,,"05.10.16 10:38"
1,"05.10.16 10:45","05.10.16 10:51",0,,,"05.10.16 10:56"
3,"05.10.16 10:51","05.10.16 11:00",0,,,"05.10.16 11:00"
1,"05.10.16 11:00","05.10.16 11:39",0,,,"05.10.16 11:44"
3,"05.10.16 11:39","05.10.16 11:46",0,,,"05.10.16 11:46"
1,"05.10.16 11:46","05.10.16 12:04",0,,,"05.10.16 12:09"
3,"05.10.16 12:04","05.10.16 12:09",0,,,"05.10.16 12:09"
