"COILIDOUT","COILIDIN","ALLOYCODE","ENTRYTHICK","EXITTHICK","ENTRYWIDTH","ENTRYDIAMPDI","EXITWEIGHTMEAS","DTSTARTROLL","DTDEPARTURE","DTENDROLLING","LENGTHPHASEEXIT","LENGTHTHICKTOL"
"1800094200B100","1800094200Y100",SPCC,4.5,1,1285,1783,19626.6081878539,"31.03.18 13:21","31.03.18 14:44","03.31.18 13:38",1691.43444824219,1.26908111572266
"1800095000B100","1800095000Y100",SPCC,4.5,1,1285,1808,20087.1562263036,"31.03.18 13:33","31.03.18 16:17","03.31.18 13:52",1754.04565429688,2.37413024902344
"1800087000B100","1800087000Y100",SPCC,3.5,0.8,1285,1819,20505.1498643955,"31.03.18 09:07","31.03.18 13:13","03.31.18 11:17",1008.19470214844,0.16357421875
"1800112100B100","1800112100Y100",SPCC,5,1.2,1535,1780,23583.2214841232,"04.04.18 19:41","05.04.18 10:29","04.04.18 20:00",1082.76257324219,1.150390625
"1800090500B100","1800090500Y100",SPCC,3.5,0.8,1285,1812,20556.8373846799,"31.03.18 12:30","31.03.18 14:35","03.31.18 12:49",2145.99829101562,2.324462890625
"1800087900B100","1800087900Y100",SPCC,3,0.7,1285,1807,19364.8869484351,"31.03.18 11:44","31.03.18 13:43","03.31.18 12:12",2292.35595703125,2.32403564453125
"1800087900B1R0","1800087900Y100",SPCC,3,0.7,1285,1807,960.877555344486,"31.03.18 11:44","31.03.18 13:40","03.31.18 12:02",0,0
"1800090600B100","1800090600Y100",SPCC,3.5,0.8,1285,1811,20536.6017296754,"31.03.18 12:49","31.03.18 14:47","03.31.18 13:04",2229.77978515625,2.53791809082031
"1800086200B1R0","1800086200Y100",SPCC,3.5,0.75,1285,1820,0,"30.03.18 13:55","31.03.18 12:47","03.31.18 08:41",0,0
"1800090900B100","1800090900Y100",SPCC,3.5,0.8,1285,1808,20520.2118745146,"31.03.18 13:14","31.03.18 15:03","03.31.18 13:31",2223.3408203125,3.10047912597656
"1800088000B100","1800088000Y100",SPCC,3,0.7,1285,1804,20105.2676148033,"31.03.18 11:55","31.03.18 13:19","03.31.18 12:21",2302.36376953125,2.85903930664063
"1800086800B1R0","1800086800Y100",SPCC,4.5,1,1285,1793,1068.68547570415,"31.03.18 11:01","31.03.18 13:20","03.31.18 11:28",0,0
"1800118300B100","1800118300Y100",SPCC,5,1.36,1535,1760,22151.4966214651,"05.04.18 10:16","05.04.18 12:13","04.05.18 10:47",0,0
"1800090400B100","1800090400Y100",SPCC,3.5,0.8,1285,1809,20791.5518128754,"31.03.18 12:20","31.03.18 14:30","03.31.18 12:42",2308.00610351563,3.37233734130859
"1800088200B1R0","1800088200Y100",SPCC,3.5,0.8,1285,1816,919.014794689957,"31.03.18 12:11","31.03.18 14:27","03.31.18 12:26",0,0
"1800093900B100","1800093900Y100",SPCC,3,0.7,1285,1810,17830.332949924,"31.03.18 15:04","01.04.18 06:32","03.31.18 15:52",2274.50024414062,3.37083435058594
"1800093700B100","1800093700Y100",SPCC,3,0.7,1285,1801,20312.0646499352,"31.03.18 14:43","31.03.18 16:32","03.31.18 15:02",2087.80224609375,3.30070495605469
"1800095100B100","1800095100Y100",SPCC,4.5,1,1285,1811,20151.5572925655,"31.03.18 13:40","31.03.18 16:33","03.31.18 13:58",1643.63647460938,1.64785766601563
"1800096600B100","1800096600Y100",SPCC,3,0.7,1285,1808,20115.1749164437,"31.03.18 15:40","02.04.18 06:36","03.31.18 16:02",2330.01586914062,3.56866455078125
"1800112000B100","1800112000Y100",SPCC,5,1.2,1535,1780,23639.6479565496,"04.04.18 19:18","05.04.18 09:02","04.04.18 19:47",1223.94116210938,1.25473022460938
"1800088400B100","1800088400Y100",SPCC,5,1.15,1285,1800,19865.6093802298,"31.03.18 13:46","31.03.18 16:39","03.31.18 14:03",1342.70031738281,1.38626098632813
"1800093800B100","1800093800Y100",SPCC,3,0.7,1285,1806,20331.4221654554,"31.03.18 14:53","02.04.18 06:36","03.31.18 15:18",1780.81030273438,2.605224609375
"1800110000B100","1800110000Y100",SPCC,4.5,1,1535,1775,22962.1297307172,"04.04.18 11:03","04.04.18 13:19","04.04.18 11:35",1333.64807128906,1.38479614257813
"1800110100B100","1800110100Y100",SPCC,4.5,1,1535,1774,23083.9790884926,"04.04.18 11:15","04.04.18 13:25","04.04.18 11:43",1491.69079589844,1.37094116210938
"1800078000B100","1800078000Y100",SPCC,3,0.7,1535,1833,0,"03.04.18 21:24","04.04.18 11:13","04.04.18 09:13",0,0
"1800111000B100","1800111000Y100",SPCC,4.5,1,1535,1778,23048.0640003161,"04.04.18 11:56","04.04.18 16:26","04.04.18 15:09",1545.65661621094,1.7008056640625
"1800109800B100","1800109800Y100",SPCC,4.5,1,1535,1768,22935.5872530031,"04.04.18 10:53","04.04.18 13:14","04.04.18 11:27",1519.86193847656,1.59219360351563
"1800111100B1R0","1800111100Y100",SPCC,4,0.9,1535,1795,0,"04.04.18 07:17","04.04.18 11:58","04.04.18 10:45",0,0
"1800112700B100","1800112700Y100",SPCC,5,1.36,1535,1777,23088.7871935681,"04.04.18 20:53","05.04.18 10:01","04.04.18 21:47",0,0
"1800104700B100","1800104700Y100",SPCC,5,1.2,1535,1784,23307.4566176082,"04.04.18 17:20","04.04.18 19:26","04.04.18 17:43",1182.68054199219,1.14883422851563
"1800108400B100","1800108400Y100",SPCC,5,1.2,1535,1787,23706.4764459081,"04.04.18 18:02","04.04.18 19:50","04.04.18 18:23",1136.82897949219,1.65396118164063
"1800109900B100","1800109900Y100",SPCC,4.5,1,1535,1773,23139.6803966976,"04.04.18 08:09","04.04.18 13:07","04.04.18 11:19",1621.28088378906,1.38662719726563
"1800108100B100","1800108100Y100",SPCC,5,1.2,1535,1782,23700.6218135947,"04.04.18 17:27","04.04.18 19:31","04.04.18 17:58",257.799407958984,0.320068359375
"1800111300B100","1800111300Y100",SPCC,4,0.9,1535,1807,23489.3016239544,"04.04.18 07:56","04.04.18 13:01","04.04.18 11:10",0,0
"1800111100B100","1800111100Y100",SPCC,4,0.9,1535,1795,21470.3695276839,"04.04.18 07:17","04.04.18 12:54","04.04.18 10:56",816.534362792969,1.2152099609375
"1800119500B100","1800119500Y100",SPCC,3.5,0.8,1535,1836,25043.8981370411,"04.04.18 16:09","04.04.18 18:57","04.04.18 16:41",2095.29931640625,2.98562622070313
"1800113200B100","1800113200Y100",SPCC,4.5,1,1535,1786,22845.0454648449,"04.04.18 15:06","04.04.18 17:13","04.04.18 15:30",957.769348144531,1.24041748046875
"1800110700B100","1800110700Y100",SPCC,5,1.36,1535,1776,23047.3216889826,"04.04.18 18:38","04.04.18 21:27","04.04.18 18:59",677.654663085938,1.00567626953125
"1800110200B100","1800110200Y100",SPCC,4.5,1,1535,1770,23122.5517866818,"04.04.18 11:24","04.04.18 13:30","04.04.18 11:51",1516.45202636719,1.85183715820313
"1800110300B100","1800110300Y100",SPCC,4.5,1,1535,1776,23170.0017897123,"04.04.18 11:32","04.04.18 13:36","04.04.18 11:58",1535.94982910156,2.08636474609375
"1800115500B100","1800115500Y100",SPCC,5,1.36,1535,1765,22825.4511509637,"05.04.18 09:31","05.04.18 11:12","04.05.18 09:54",795.031127929688,1.0352783203125
"1800112400B100","1800112400Y100",SPCC,5,1.2,1535,1798,23671.3489821272,"04.04.18 19:59","05.04.18 09:53","04.04.18 20:50",964.874694824219,1.48046875
"1800111700B100","1800111700Y100",SPCC,5,1.2,1535,1789,23759.8763259665,"04.04.18 19:04","05.04.18 08:53","04.04.18 19:33",466.752227783203,0.431854248046875
"1800110400B1R0","1800110400Y100",SPCC,4.5,1,1535,1780,1894.46343570547,"04.04.18 11:41","04.04.18 15:46","04.04.18 14:41",0,0
"1800110400B100","1800110400Y100",SPCC,4.5,1,1535,1780,21315.7094658128,"04.04.18 11:41","04.04.18 15:55","04.04.18 14:52",0,0
"1800110500B100","1800110500Y100",SPCC,4.5,1,1535,1773,22921.0971197083,"04.04.18 11:49","04.04.18 16:14","04.04.18 15:02",1229.23413085938,1.14569091796875
"1800110800B100","1800110800Y100",SPCC,4,0.9,1535,1804,23795.0095273688,"04.04.18 16:39","04.04.18 19:13","04.04.18 17:25",563.659912109375,0.3707275390625
"1800052800B120","1800027800Y100",SPCC,5,1.2,1285,1804,17923,"24.03.18 16:31","26.03.18 11:42","03.26.18 10:13",0,0
"1800057500B100","1800057500Y100",SPCC,2.5,0.5,1285,1821,20432.3359250633,"26.03.18 14:08","26.03.18 18:37","03.26.18 14:37",2815.84887695312,0
"1800057800B100","1800057800Y100",SPCC,3,0.7,1285,1798,19982.4231426531,"26.03.18 11:31","26.03.18 18:09","03.26.18 13:17",2561.75366210938,0
"1800056000B100","1800056000Y100",SPCC,3.5,0.8,1285,1780,19567.1706268196,"26.03.18 11:10","26.03.18 18:04","03.26.18 13:06",1770.80297851562,0
"1800055200B100","1800055200Y100",SPCC,2,0.4,1285,1825,19607.8741330621,"26.03.18 13:31","26.03.18 18:32","03.26.18 14:20",3500.86328125,0
"1800057700B110","1800057700Y100",SPCC,2.5,0.5,1285,1827,0,"26.03.18 16:26","27.03.18 15:00","03.27.18 08:18",0,0
"1800054900B100","1800054900Y100",SPCC,2,0.4,1285,1824,20465.7164419805,"27.03.18 10:24","27.03.18 15:13","03.27.18 10:55",1798.21630859375,0
"1800055000B120","1800055000Y100",SPCC,2,0.4,1285,1816,15814.2830783233,"27.03.18 11:37","27.03.18 18:28","03.27.18 12:01",3158.501953125,0
"1800055100B100","1800055100Y100",SPCC,2,0.4,1285,1826,20418.4775995061,"27.03.18 11:59","27.03.18 18:31","03.27.18 12:14",3339.19702148438,0
"1800078800B100","1800078800Y100",SPCC,5,1.15,1285,1785,20910,"28.03.18 17:29","28.03.18 18:40","03.28.18 18:15",0,0
"1800027800B120","1800027800Y100",SPCC,2.5,0.5,1285,2001,20439.9618190382,"26.03.18 16:16","27.03.18 12:01","03.27.18 08:08",3116.79418945312,0
"1800056200B110","1800056200Y100",SPCC,3.5,0.8,1285,1782,2312.92638995106,"28.03.18 07:58","31.03.18 10:02","03.28.18 10:59",0,0
"1800056900B100","1800056900Y100",SPCC,2,0.4,1285,1828,0,"27.03.18 12:12","27.03.18 18:35","03.27.18 12:36",0,0
"1800086800B100","1800086800Y100",SPCC,4.5,1,1285,1793,18915.1482286863,"31.03.18 11:01","31.03.18 13:24","03.31.18 11:34",1484.40380859375,1.0714111328125
"1800057100B110","1800057100Y100",SPCC,2.5,0.5,1285,1831,1474.5848250587,"27.03.18 12:21","27.03.18 18:43","03.27.18 14:37",0,0
"1800057700B120","1800057700Y100",SPCC,2.5,0.5,1285,1827,18700.0021207692,"26.03.18 16:26","27.03.18 12:27","03.27.18 09:58",1657.59289550781,0
